Date,TempOut,HiTemp,LowTemp,OutHum,DewPt.,WSpeed,WDir,WRun,WHSpeed,HWDir,WChill,HeatIx,ThwIx,ThswI,Bar,Rain,SolRate,SolRad.,HiSlE,Rad.,uvIndex,uDose,hiUV,hetD-D,colD-D,inTemp,inHum,inDew,iHeat,ET,WSamp,WTx,iRecept,arcInt,WDir_deg,HWDir_deg,Punto,Polvo_PM10,clase
2008-02-23,9.799999999999999,18.3,2.7,53.0,-0.05813953488372093,7.3374999999999995,E,176.18,69.2,---,2.6,15.7,8.1,,610.5604166666667,0.0,0.0,329.25,53.03,422.3125,0.0,0.0,0.0,7.648,0.0,12.714583333333332,39.5,-0.3354166666666667,22.6,5.13,28825,1,86.53333333333335,30,90.0,,20V,5.0,False
2008-02-26,8.797872340425531,15.7,3.6,56.0,-0.33404255319148934,9.547916666666667,ENE,229.26000000000002,88.5,E,2.9,13.8,6.8255319148936175,,607.6229166666667,0.0,0.0,173.60416666666666,50.19,341.4791666666667,,,,9.332,0.0,11.139583333333334,39.0,-1.5145833333333334,16.2,3.7199999999999998,32973,1,99.14999999999999,30,67.5,90.0,20V,33.0,False
2008-02-29,7.970454545454545,19.1,-1.5,28.5,-11.086363636363636,12.93695652173913,S,297.67,61.2,E,-1.9,15.2,4.952272727272727,,608.2326086956522,0.0,0.0,398.4,50.06,424.5111111111111,,,,9.503,0.0,9.85,21.5,-11.430434782608694,20.6,12.84,30625,1,95.47826086956522,30,180.0,90.0,20V,13.0,False
2008-03-03,5.885416666666667,13.4,-1.9,54.0,-3.4104166666666664,8.783333333333333,ESE,210.79,62.8,SE,-2.5,11.3,3.8354166666666667,,609.2229166666667,0.0,0.0,175.29166666666666,35.14,324.0833333333333,0.0,0.0,0.0,12.446,0.0,7.547916666666667,43.5,-5.002083333333333,13.0,3.5700000000000003,33406,1,100.0,30,112.5,135.0,20V,6.0,False
2008-03-06,5.0062500000000005,13.4,-2.4,15.0,-19.485416666666666,14.245833333333335,SW,341.96,53.1,SSW,-5.8,10.9,1.1187500000000001,,608.5375,0.0,0.0,185.41666666666666,30.88,198.52083333333334,,,,13.331,0.0,12.533333333333333,23.0,-7.047916666666667,13.2,4.88,33047,1,99.52916666666665,30,225.0,202.5,20V,38.0,False
2008-03-12,7.102083333333333,17.8,-2.9,26.5,-14.133333333333333,16.35625,SW,392.65,77.2,SW,-2.7,13.7,3.6041666666666665,3.891666666666667,604.7604166666666,0.0,0.0,365.875,46.27,388.25,,,,11.225,0.0,17.033333333333335,16.5,-8.25,19.9,25.54,30677,1,92.44791666666667,30,225.0,225.0,20V,19.0,False
2008-03-15,10.106250000000001,19.3,1.3,52.5,-2.935416666666667,7.2749999999999995,W,174.58,45.1,W,0.9,15.7,8.322916666666666,,615.3395833333333,0.0,0.0,333.0833333333333,46.4,358.75,,,,8.254,0.024,19.545833333333334,29.0,0.5437500000000001,22.8,5.95,32838,1,99.12708333333335,30,270.0,270.0,20V,51.0,False
2008-03-18,9.825000000000001,18.3,1.4,36.0,-6.6875,13.270833333333334,W,318.61,61.2,WNW,1.4,15.1,6.772916666666667,,598.8645833333334,0.0,0.0,281.1041666666667,46.62,319.4375,,,,8.509,0.0,20.162499999999998,23.5,-1.9208333333333334,23.3,6.37,33414,1,99.89375,30,270.0,292.5,20V,33.0,False
2008-03-21,7.779166666666666,16.3,-1.6,27.5,-5.6187499999999995,9.685416666666667,W,232.49,51.5,N,-1.8,13.4,5.425,,602.9708333333333,0.2,0.0,257.2083333333333,45.33,346.9375,,,,10.552,0.0,19.527083333333334,25.0,-0.5666666666666667,22.1,5.0,33349,1,100.0,30,270.0,0.0,20V,46.0,False
2008-03-24,7.997916666666666,15.4,-0.1,50.0,-2.15625,8.539583333333333,W,205.13,49.9,N,0.2,13.2,6.1375,,603.8583333333333,0.0,0.0,234.27083333333334,46.96,337.9375,,,,10.333,0.0,19.08125,31.0,1.26875,21.8,4.41,33417,1,100.0,30,270.0,0.0,20V,53.0,False
2008-03-27,9.160416666666666,17.0,-0.2,33.5,-5.1312500000000005,8.908333333333333,N,214.0,49.9,N,-1.4,13.9,6.7875000000000005,,599.1,0.0,0.0,245.4375,46.27,291.1458333333333,,,,9.179,0.0,19.458333333333332,25.0,-0.9520833333333334,20.9,4.82,33446,1,100.0,30,0.0,0.0,20V,20.0,False
2008-03-29,8.164583333333333,15.0,0.5,49.5,-1.2375,10.014583333333333,WNW,240.56,64.4,NNE,0.2,12.7,5.941666666666666,,599.8270833333333,0.2,0.0,206.75,42.45,308.25,,,,10.167,0.0,19.591666666666665,30.5,1.7562499999999999,22.0,4.03,33298,1,99.99791666666665,30,292.5,22.5,20V,33.0,False
2008-04-05,1.6958333333333335,10.3,-6.8,10.0,-27.733333333333334,25.93958333333333,SW,622.84,74.0,SSW,-8.7,8.4,-3.5354166666666664,,603.9625,0.0,0.0,246.27083333333334,37.11,266.4791666666667,,,,16.633,0.0,13.916666666666666,20.0,-8.866666666666667,14.3,39.93,33270,1,99.92916666666667,30,225.0,202.5,VETA,12.94462,False
2008-04-08,1.0104166666666667,11.3,-9.4,10.5,-28.839583333333334,16.483333333333334,SW,395.84,62.8,SSW,-10.4,9.1,-2.7062500000000003,,609.0416666666666,0.0,0.0,224.54166666666666,34.02,239.47916666666666,,,,17.325,0.0,13.3125,21.5,-8.441666666666666,13.3,5.91,14897,1,45.37916666666666,30,225.0,202.5,VETA,45.62129,False
2008-04-11,6.9375,18.1,-5.5,11.5,-22.575,15.216666666666667,N,365.28000000000003,74.0,N,-5.4,14.2,3.122916666666667,1.90625,608.0895833333333,0.0,0.0,354.9583333333333,47.52,402.8125,,,,11.394,0.0,16.099999999999998,14.0,-10.245833333333334,19.5,13.9,30916,1,93.3,30,0.0,0.0,VETA,73.02628,False
